CTauBwC__760	Brindled1
CTauBwC__761	Brindled1
CTauBwC__762	Brindled1
CTauBwC__763	Brindled1
CTauBwC__764	Brindled1
CTauBwC__765	Brindled1
CTauBwC__766	Brindled1
CTauBwC__767	Brindled1
CTauBwC__769	Brindled1
CTauBwN_1973	Brindled1
CTauZaN__914	Brindled1
CTauNaN_2489	Brindled4
CTauNaN_2496	Brindled4
CTauNaN_2500	Brindled4
CTauNaN_2503	Brindled4
CTauNaN_2506	Brindled4
CTauZmC_3748	Brindled6
CTauZmC_3745	Brindled6
CTauZmC_3746	Brindled6
CTauZmC_3747	Brindled6
CGnoNaC_1324	Black
CGnoNaC_1329	Black
CGnoNaC_1356	Black
CGnoNaC_2630	Black
CGnoNaC_2632	Black
CGnoNaC_2633	Black
CGnoNaC__953	Black
CGnoNaC__954	Black
CGnoNaC__962	Black
CTauZmE_2542	Cookson
CTauZmE_2552	Cookson
CTauZmE_3749	Cookson
CTauTzS_3711	Nyassa
CTauTzS_7105	Nyassa
CTauTzS_7106	Nyassa
CTauTzS_7107	Nyassa
CTauTzS_8872	Nyassa
CTauKeS__698	EwhiteBeard2
CTauKeS__699	EwhiteBeard2
CTauKeS__700	EwhiteBeard2
CTauKeS__701	EwhiteBeard2
CTauKeS__702	EwhiteBeard2
CTauKeS__704	EwhiteBeard2
CTauKeS__705	EwhiteBeard2
CTauKeS__706	EwhiteBeard2
CTauKeS__707	EwhiteBeard2
CTauKeS__709	EwhiteBeard3
CTauKeS__710	EwhiteBeard3
CTauKeS__711	EwhiteBeard3
CTauKeS__712	EwhiteBeard3
CTauKeS__713	EwhiteBeard3
CTauKeS__714	EwhiteBeard3
CTauKeS__715	EwhiteBeard3
CTauKeS__716	EwhiteBeard3
CTauKeS__717	EwhiteBeard3
CTauKeS__718	EwhiteBeard3
CTauTzN_2165	EwhiteBeard1
CTauTzN_2199	EwhiteBeard1
CTauTzN_3172	EwhiteBeard1
CTauTzN_4275	EwhiteBeard1
CTauTzN_4276	EwhiteBeard1
CTauTzN_4279	EwhiteBeard1
CTauTzN_4498	EwhiteBeard1
CTauTzN_4499	EwhiteBeard1
CTauTzN_4501	EwhiteBeard1
CTauTzN_4502	EwhiteBeard1
CTauKeW__638	WwhiteBeard
CTauKeW__640	WwhiteBeard
CTauKeW__641	WwhiteBeard
CTauKeW__642	WwhiteBeard
CTauKeW__643	WwhiteBeard
CTauKeW__644	WwhiteBeard
CTauKeW__645	WwhiteBeard
CTauKeW__646	WwhiteBeard
CTauKeW__648	WwhiteBeard
CTauKeW__649	WwhiteBeard
CTauTzN_4284	WwhiteBeard
CTauTzN_4285	WwhiteBeard
CTauTzN_4496	WwhiteBeard
CTauTzN_4497	WwhiteBeard
CTauTzN_5188	WwhiteBeard
CTauTzN_8202	WwhiteBeard
CTauTzN_8870	WwhiteBeard
CTauTzN_8871	WwhiteBeard
CTauTzN_3174	WwhiteBeard
CTauTzN__738	WwhiteBeard
CTauTzN__740	WwhiteBeard
CTauTzN__741	WwhiteBeard
CTauTzN__742	WwhiteBeard
CTauTzN__744	WwhiteBeard
CTauTzN__746	WwhiteBeard
CTauTzN__747	WwhiteBeard
CTauTzN__750	WwhiteBeard
CTauTzN__751	WwhiteBeard
