Sample	Genome	xPassed	xFailed
CGnoZa_58006	BlueWildebeestWithMT	5.63	28.00
CGnoZaN58014	Goat	2.78	10.19
CGnoZaE58013	Goat	4.85	16.22
CGnoZa_58006	Goat	6.23	23.55
CGnoZa_58007	BlueWildebeestWithMT	5.27	24.42
CGnoZa_58016	BlueWildebeestWithMT	3.37	15.35
ABusKeW__626	BlueWildebeestWithMT	1.45	19.83
ABusZmW_4583	Goat	2.17	16.56
DLunKeW__791	Goat	2.63	17.06
CGnoNa_58017	Goat	6.37	13.45
CGnoNa_58015	BlueWildebeestWithMT	6.29	17.17
CGnoZa_58016	Goat	3.43	13.23
CGnoNa_58015	Goat	6.43	14.43
CGnoZaE58013	BlueWildebeestWithMT	4.75	18.87
DLunBwN_2239	Goat	2.63	17.91
CGnoZa_58007	Goat	5.57	20.76
CGnoZaN58014	BlueWildebeestWithMT	2.98	11.64
CGnoZaE58005	BlueWildebeestWithMT	4.49	13.03
DLunKeW__791	BlueWildebeestWithMT	2.27	19.83
CGnoZaE58005	Goat	4.75	10.78
ABusZmW_4583	BlueWildebeestWithMT	1.80	19.14
CGnoNa_58017	BlueWildebeestWithMT	6.17	16.16
DLunBwN_2239	BlueWildebeestWithMT	2.18	20.72
ABusKeW__626	Goat	1.90	17.14
